Country Name,Year,GDP Growth,GFCF change,Inflation change,Unemployment change
Albania,1997,-10.9199840781391,-20.6186958942293,20.454796566685296,2.5999999999999996
Albania,1998,8.82942375839806,12.8095145006079,-12.537415508335997,2.799999999999999
Albania,1999,12.8908036407763,37.2699725542746,-20.253421213497983,0.6999999999999993
Albania,2000,6.94621659244254,42.6253312466777,-0.33941951721478614,-1.5999999999999979
Albania,2001,8.29331263121023,22.7126422820943,3.057570133967509,-0.40000000000000213
Albania,2002,4.53652416035675,5.1711620495003,4.662937564001179,-11.784999999999998
Albania,2003,5.52863746491788,7.88520004133724,-7.28652322249705,10.385
Albania,2004,5.51466791097914,11.7980324129062,1.79601655756254,-0.5999999999999996
Albania,2005,5.52642424695465,7.05841324155271,0.08656278741695012,-7.8340000000000005
Albania,2006,5.90265903591924,7.56970751446575,0.004146362244859869,7.234000000000001
Albania,2007,5.98325951855567,4.63651168957647,0.5619541625804101,2.1659999999999986
Albania,2008,7.50004143020151,4.41666805497447,0.3881884222694101,-2.905999999999999
Albania,2009,3.35428934987461,0.976360501374486,-1.0539488093843299,0.613999999999999
Albania,2010,3.70693815255319,-8.46911422649312,1.3591248612898497,0.4120000000000008
Albania,2011,2.54540614450104,5.9433056404727,-0.19692370857652985,-0.6050000000000004
Albania,2012,1.4172427999078,-7.85825375847989,-1.39753056326862,-0.10500000000000043
Albania,2013,1.00201754071108,-1.9758642091881,-0.09397188190072003,2.49
Albania,2014,1.77444885260394,-4.54764912453682,-0.31175575802619004,2.189
Albania,2015,2.21872637517804,3.50032595218136,0.2703089818975499,-0.8619999999999983
Albania,2016,3.31498068384137,2.42755116173186,-0.6207423422495499,-1.7750000000000021
Albania,2017,3.80259872019053,6.03434011524429,0.7112296480378901,-1.8019999999999996
Albania,2018,4.01934561695576,2.3463225006962,0.041398298999369754,-1.3119999999999994
Albania,2019,2.08771199649604,-3.56404756713917,-0.6169688411688998,-0.838000000000001
Australia,1997,3.91318943203036,6.63821033173659,-2.390497059162723,-0.14199999999999946
Australia,1998,4.66325162994434,9.73565141214243,0.635247073546255,-0.6830000000000007
Australia,1999,5.02764746946789,4.44041512382375,0.622994773272268,-0.8079999999999998
Australia,2000,3.92151782931303,8.09382280354376,2.97430574493183,-0.5880000000000001
Australia,2001,2.02512731541893,-7.94403069284586,-0.05029978595755047,0.45899999999999963
Australia,2002,3.97963375579748,9.1251940835172,-1.4255608226512098,-0.3719999999999999
Australia,2003,3.09068718165635,12.5673504996761,-0.24897857319562,-0.44200000000000017
Australia,2004,4.22432172716931,8.73511909711712,-0.3893407413420298,-0.5339999999999998
Australia,2005,3.15413925672789,6.09486751219035,0.3485764583424902,-0.36300000000000043
Australia,2006,2.75529824273126,8.2734082612983,0.8634560541019396,-0.25099999999999945
Australia,2007,3.77339268108837,4.51938133128816,-1.2276764483554996,-0.4039999999999999
Australia,2008,3.58622797986055,8.76258321931682,2.02268726098572,-0.13900000000000023
Australia,2009,1.89257360858259,1.52385102101533,-2.5791813836879403,1.3230000000000004
Australia,2010,2.22653807797504,1.74833404094289,1.1472228605612198,-0.351
Australia,2011,2.40897178005686,3.60031839550436,0.38551012931364026,-0.13100000000000023
Australia,2012,3.91840962538336,11.6034822048127,-1.54106999995544,0.14199999999999946
Australia,2013,2.60619844706027,2.89165748088638,0.6871084852934399,0.4380000000000006
Australia,2014,2.60740103188527,-1.88890731601312,0.038034063888639835,0.41500000000000004
Australia,2015,2.20181015336807,-3.69161420688583,-0.9795559836548298,-0.023000000000000576
Australia,2016,2.77914262537222,-3.64287443511944,-0.2313757766859701,-0.3439999999999994
Australia,2017,2.31870938698817,-0.0397803288367555,0.67165646447203,-0.11900000000000066
Australia,2018,2.90636311509867,4.84046976224937,-0.03724646498835993,-0.2919999999999998
Australia,2019,2.1811091061096,-1.25343876550068,-0.30063307155312,-0.14100000000000001
Austria,1997,2.09359938952392,0.740084525763749,-0.5549925853274,-0.13099999999999934
Austria,1998,3.58142581460447,3.42991551390837,-0.3835113755961309,0.37299999999999933
Austria,1999,3.55633124664169,1.22572290074814,-0.35347343079523097,-0.8249999999999993
Austria,2000,3.37572214708479,5.82858836624582,1.7758690876872518,-0.01100000000000012
Austria,2001,1.26716818922992,-1.11055818626224,0.30513791922246014,1.713
Austria,2002,1.65155392186669,-2.86571372062906,-0.83964289515401,-1.5510000000000002
Austria,2003,0.941470920725337,3.84274233953752,-0.4548041686767501,-0.07000000000000028
Austria,2004,2.73512022241023,0.940608939200189,0.7056524713640999,1.1900000000000004
Austria,2005,2.24406532463878,0.252778802151951,0.23793167606423005,-0.2869999999999999
Austria,2006,3.45404183614122,1.15071410969205,-0.85758934520265,-0.3620000000000001
Austria,2007,3.72741530093519,4.64431321253895,0.7270067768172899,-0.4110000000000005
Austria,2008,1.4604236757386,1.6068948855992,1.04739504439137,-0.7109999999999994
Austria,2009,-3.76457817791677,-7.17763857106019,-2.7096415047023448,1.173
Austria,2010,1.83709367680054,-2.58653639367678,1.307225562254105,-0.48800000000000043
Austria,2011,2.92279728368581,6.64982997026975,1.47304475880318,-0.24600000000000044
Austria,2012,0.680445576816723,0.90590672190298,-0.80090352698365,0.27200000000000024
Austria,2013,0.0255047121972183,1.5640882032328,-0.48551945276417996,0.4580000000000002
Austria,2014,0.661272848852605,-0.402952708931807,-0.39434433946123004,0.3070000000000004
Austria,2015,1.01450158590511,2.3015223380817,-0.7092484942844202,0.12799999999999923
Austria,2016,1.98943716230463,4.30583003509955,-0.0049715826049580025,0.26200000000000045
